perturbagen,threshold,sd_m,sd_c,sd_n1,sd_a2,sd_a3,sd_ap,sd_a4,sd_c5
AT-9283,0.5,0.05741057527348865,0.0535614681162158,0.13197238737478098,0.18235605374003766,0.10599110225831947,0.0919344261139812,0.04654326586651124,0.10880486169768033
AT-9283,0.85,0.05960685146527826,0.07192561244039553,0.2097072994709153,0.26038092946795993,0.13156602822575103,0.12408477951141413,0.06599212167605069,0.1320007731873472
AT-9283,1,0.06255581447447049,0.08035008960299729,0.23523184168484765,0.2785688672079169,0.13929563198642628,0.12526001013750293,0.07755130226889,0.13652348212704615
AZD-1775,0,0.045886117723763734,0.04325506526670249,0.052307982746725344,0.065148350166305,0.08758242248155428,0.08051510222603792,0.06764172500815437,0.097284860381513
AZD-1775,0.26,0.04569954697179262,0.05403026395220728,0.08793223053196662,0.10511433750297094,0.10039417388759157,0.09100757606280055,0.07803227126640443,0.11253691887860837
AZD-1775,0.5,0.04631950855175704,0.06761989826911978,0.13257149553719821,0.19807975680684853,0.11175614489480973,0.1006604409611154,0.09009826333097297,0.13256996196772514
AZD-1775,0.85,0.04868468028101679,0.08117496595497813,0.20336074450092817,0.26666598303651795,0.1351381653049324,0.11815080657567856,0.11393319261337757,0.1624436813049931
AZD-1775,1,0.0504163973509255,0.08266530737949668,0.2222509258259287,0.3011925868955531,0.14659661332950677,0.12286099091803517,0.12216268546945273,0.1717828800387866
AZD-5438,0,0.03408831413072003,0.043508565277718736,0.03822489393975131,0.04355434781094982,0.08757041061346245,0.07962471813062702,0.06288087398160322,0.10903361290489326
AZD-5438,0.26,0.034077246640714695,0.051835874578296574,0.06297766673150712,0.09508935211376882,0.10403033504333452,0.0928449736927546,0.07444022651480182,0.12759816657161177
AZD-5438,0.5,0.03644851487474177,0.06288949951030359,0.1341702110433443,0.17926491270423514,0.1256306966121713,0.10753572479303261,0.08540363945732152,0.14236923077340913
AZD-5438,0.85,0.04092220044326324,0.06439266511615617,0.22952576840931607,0.3006865491718934,0.14718635918372064,0.1282224075980284,0.10623527998985559,0.16651305283593779
AZD-5438,1,0.04383657617891259,0.06293966216638312,0.2584643884563916,0.3189281385697947,0.1619069107268589,0.1344181407813658,0.11510667056122847,0.1687947404385282
BRD-K54343811,0,0.03297409289379043,0.036133181470257104,0.040397489797676434,0.03605242067278019,0.05397270649193309,0.053255695437176336,0.03510522665706154,0.06299245395072796
BRD-K54343811,0.26,0.03037909854666714,0.04536126292506554,0.06986477682982549,0.08620581814627225,0.06509900950433693,0.062095687796134814,0.04206927321840855,0.07074651532851677
BRD-K54343811,0.5,0.03699308240233808,0.06049611309820798,0.1303533960509841,0.14866236794061055,0.07814543501131153,0.07575276897943589,0.051713129294978635,0.08187013088802046
BRD-K54343811,0.85,0.041052115078864186,0.06635464908732168,0.19680395328504724,0.24787140639841596,0.09169755591177818,0.09175533285695059,0.08210874792353848,0.10634919686161112
BRD-K54343811,1,0.04000925322068821,0.06899553696504157,0.1991975321504366,0.2886586547618491,0.09529643288164964,0.09210495539158421,0.10302943313518217,0.10601273426474064
Broad-Sai-045,0,0.04175062819692878,0.03808918938871471,0.04947696925328071,0.05538965857789234,0.05604854742233771,0.056582712319061264,0.03902136358703422,0.0710472742139378
Broad-Sai-045,0.26,0.04164430273666437,0.04654161344742434,0.09741341041619592,0.1317391640551936,0.06905605769442945,0.06553304335143714,0.045026251501440726,0.08177125672963041
